ID,Nombre estación,Dirección,Municipio,Latitud,Longitud,Tipo de uso (pública/privada),Numero de cargadores,Potencia (kW),Estándar,Numero por estandar,Tipo de corriente,Uso principal,Dentro de,Observaciones
13,Tesla Destination Charger,"Av. Revolución 2703, Ladrillera, Distrito Tec, 64830 Monterrey, N.L.",Monterrey,25.65339482,-100.2755487,Public,4,13kW,Tesla,4,AC,Universidad,Tecnológico de Monterrey,Only two out of four work
14,Tesla Destination Charger,"Av Lázaro Cárdenas 1000, Paseo de Las Privanzas, 64700 Monterrey, N.L.",Monterrey,25.63803872,-100.3144944,Public,6,18kW,Tesla,6,AC,Centro comercial,Plaza Valle Oriente,Only one works and the rest are for BMW vehicles
15,EVcharge Charging Station,"Av Abraham Lincoln s/n, Mitras Nte., 64320 Monterrey, N.L.",Monterrey,25.71514097,-100.3497563,Public,1,,,1,,Espacio público,Independiente,Sin comentarios
16,AUDI Charging Station,"Calz. del Valle, Del Valle, 66220 Monterrey, N.L.",Monterrey,25.65482242,-100.3620394,Public,1,24kW,CCS,1,DC Fast,Espacio público,Independiente,Very easy finding the charger
17,ChargeNow CFE Charging Station,"Av. Junco de la Vega S/N, Tecnologico, Distrito Tec, 64700 Monterrey, N.L.",Monterrey,25.6528862,-100.2863084,Public,1,7kW,J1772,1,AC,Universidad,Independiente,Sin comentarios
18,Evergo Charging Station,"América 402, Nuevas Colonias, 64710 Monterrey, N.L.",Monterrey,25.66720823,-100.3320021,Public,3,50kW,,3,DC Fast,Espacio público,Independiente,Sin comentarios
19,Electrolinera U-R CFE,"C. Mariano Matamoros 456, Centro, 64000 Monterrey, N.L.",Monterrey,25.67294133,-100.3231675,Public,1,7kW,J1772,1,AC,Espacio público,Independiente,Doesnt work.
20,Tesla Destination Charger,"Av Alfonso Reyes 901, Zona Valle Poniente, 66233 San Pedro Garza García, N.L.",San Pedro Garza Garcia,25.66015093,-100.4163666,Public,4,18kW,Tesla,4,AC,Espacio público,Independiente,"They are useless, they are in precarious conditions."
21,AUDI Charging Station,"Av. José Vasconcelos, Zona Valle del Mezquite, 66226 San Pedro Garza García, N.L.",San Pedro Garza Garcia,25.65678718,-100.3890967,Private,1,24kW,CCS,1,DC Fast,Edificio corporativo,Audi Sucursal,Sin comentarios
22,Tesla Destination Charger,"Av. José Vasconcelos 755 Pte, Los Sabinos, 66226 Monterrey, N.L.",San Pedro Garza Garcia,25.65757602,-100.3891237,Public,4,18kW,Tesla,4,AC,Centro comercial,Avanta Gardens,Sin comentarios
22,Nissan Zero Emission Charging Station,"Av. Humberto Lobo y, Río Guadalquivir #520, Del Valle, 66228 Monterrey, N.L.",Monterrey,25.66418859,-100.383724,Public,1,7kW,J1772,1,AC,Centro comercial,Plaza San Pedro,Sin comentarios
23,Tesla Destination Charger,"Av. Humberto Lobo 540, Colonia del Valle, 66220 San Pedro Garza García, N.L.",Monterrey,25.666122,-100.382053,Public,6,18kW,Tesla,6,AC,Centro comercial,Plaza San Pedro,Sin comentarios
24,ChargeNow CFE Charging Station,"Blvd. Rogelio Cantú Gómez 1804, Santa María, 67190 Monterrey, N.L.",Monterrey,25.67700864,-100.3762875,Private,2,7kW,J1772,2,AC,Espacio público,Independiente,Sin comentarios
25,ChargeNow CFE Charging Station,"Calz. Mauricio Fernández Garza 202, Del Valle, 66220 San Pedro Garza García, N.L.",San Pedro Garza Garcia,25.66089787,-100.3703601,Public,3,7kW,J1772,3,AC,Centro comercial,Plaza XO,Unable to charge
26,Mercedes-Benz Charging Station,"Calz. del Valle 107, Del Valle, 66220 Monterrey, N.L.",Monterrey,25.65780924,-100.3681738,Private,,,,,,Edificio corporativo,Mercedes Benz Sucursal,They only allow agency employees to use it
27,Tesla Destination Charger,"Río Guadalquivir 304, Valle Oriente, 66220 Monterrey, N.L.",Monterrey,25.6605142,-100.3613484,Public,1,7kW,J1772,1,AC,Centro comercial,Plaza Valle,Sin comentarios
28,ChargePoint Charging Station,"Oriente, Av. José Vasconcelos 245, 66220 San Pedro Garza García, N.L.",San Pedro Garza Garcia,25.65255955,-100.3645525,Public,2,3kW,J1772,2,AC,Espacio público,Independiente,Sin comentarios
29,Nissan Zero Emission Charging Station,"Mexico MX, Av. José Vasconcelos No.325, Del Valle, 66220 San Pedro Garza García, N.L.",San Pedro Garza Garcia,25.65258885,-100.3635293,Private,1,5kW,J1772,1,AC,Edificio corporativo,Nissan Sucursal,Sin comentarios
30,Tesla Destination Charger,"Rio Missouri 555, Del Valle, 66220 San Pedro Garza García, N.L.",San Pedro Garza Garcia,25.6595589,-100.3541083,Public,7,72kW,Tesla,7,DC Fast,Centro comercial,Punto Valle,"Says 75kW charging rate, but you would be lucky to get more than 25kW. Not a supercharger."
31,ChargeNow CFE Charging Station,"Av. del Roble 660, Valle del Campestre, 66265 San Pedro Garza García, N.L.",San Pedro Garza Garcia,25.64992548,-100.3561575,Public,2,7kW,J1772,2,AC,Centro comercial,Arboleda,With the Wrangler 4xE it charged in less than 2 hours... all good.
32,BMW Destination Charging Station,"Eugenio Garza Lagüera 100, Zona Valle Oriente, 66278 San Pedro Garza García, N.L.",San Pedro Garza Garcia,25.64468068,-100.3264039,Public,5,7kW,Type 2,5,AC,Espacio público,Independiente,Sin comentarios
33,BMW Destination Charging Station,"David Alfaro Siqueiros 101, Flor de Mayo, 66260 San Pedro Garza García, N.L.",San Pedro Garza Garcia,25.64443239,-100.3208705,Public,4,7kW,Type 2,4,AC,Espacio público,Independiente,Sin comentarios
34,Blink Charging Station,"Av Lázaro Cárdenas 3003, Valle del Márquez, 64790 Monterrey, N.L.",Monterrey,25.62818797,-100.2926236,Private,1,11kW,J1772,1,AC,Espacio público,Independiente,"Only for Buick and GMC, not public, not Blink"
35,FAZT Charging Station,"Calle Alejandro de Rodas, Cumbres 6 Sec, 64619 Monterrey, N.L.",Monterrey,25.73184115,-100.3889757,Public,,,,,,Espacio público,Independiente,"The terminals are always failing, when charging, they charge you and then say the charger is not available, they do not return the money and do not answer anywhere, phone, Facebook, Instagram, WhatsApp is just a robot. They owe me more than $ 1300 pesos, they say they will return in 3 to 7 business days, I have been more than 3 weeks without responding."
36,BMW Destination Charging Station,"Pedro de Alba S/N, Niños Héroes, Ciudad Universitaria, 66455 San Nicolás de los Garza, N.L.",San Nicolás de los Garza,25.73024944,-100.3115849,Public,4,7kW,Type 2,4,AC,Universidad,Independiente,Sin comentarios
37,Tesla Destination Charger,"Prol. las Americas #2101, Contry Sol, 67174 Guadalupe, N.L.",Guadalupe,25.65227061,-100.2653486,Public,3,18kW,Tesla,3,AC,Centro comercial,Plaza El Encino,Out of service all 3
38,ChargeNow CFE Charging Station,"Av Alfonso Reyes 2400, Bella Vista, 64410 Monterrey, N.L.",Monterrey,25.69690687,-100.3170122,Private,1,7kW,J1772,1,AC,Edificio corporativo,CFE,Sin comentarios
39,Tesla Destination Charger,"Constitución S/N, Centro, 64000 Monterrey, N.L.",Monterrey,25.6655886,-100.316492,Public,6,18kW,Tesla,6,AC,Edificio corporativo,Escenario GNP Seguros,Unable to charge
40,Evergo Charging Station,"Av. Miguel Alemán 5054, 67130 Guadalupe, N.L.",Guadalupe,25.69095776,-100.2475979,Public,8,50;50;7,"Unknown,CCS,J1772",2;2;4,DC Fast,Espacio público,Multiplaza lindavista,Sin comentarios
41,FAZT Charging Station,"Av. Manuela Herrera 101, Las Praderas, 66636 Cdad. Apodaca, N.L.",Apodaca,25.77737962,-100.2599675,Public,2,220,J1772,2,DC Ultra Fast,Espacio público,Plaza los Fresnos,"Fast charging, 1 hour and a bit at 100%"
42,ChargeNow CFE Charging Station,"Av. Sendero Divisorio 130, Valle del Cañada, 66050 Cdad. Gral. Escobedo, N.L.",Gral. Escobedo,25.76897455,-100.302159,Public,1,7,J1772,1,AC,Espacio público,Plaza Sendero Escobedo,"It's a Type 1 connector, but on June 11, 2025, the charger wasn't working"
43,BMW Destination Charging Station,"Av. Diego Díaz de Berlanga 95A, Antiguo Nogalar, 66484 San Nicolás de los Garza, N.L.",San Nicolás de los Garza,25.72107247,-100.2806735,Private,4,22;7,Type 2,2;2,AC,Edificio corporativo,Hidrocarburos y Derivados S.A. de C.V.,Sin comentarios
44,ChargeNow CFE Charging Station,"Andes, Francisco Garza Sada, 66490 San Nicolás de los Garza, N.L.",San Nicolás de los Garza,25.70966924,-100.2645464,Private,1,7,J1772,1,AC,Edificio corporativo,CFE,Sin comentarios
45,BMW Destination Charging Station,"Av. Munich 105-S, Cuauhtemoc, Sin Nombre de Col 22, 66450 San Nicolás de los Garza, N.L.",San Nicolás de los Garza,25.72658976,-100.3051704,Private,4,22;7,Type 2,2;2,AC,Edificio corporativo,"Hylsamex, S.a. De C.v.",Sin comentarios
